"1 star","1 star"
"2 stars","2 stars"
"3 stars","3 stars"
"4 stars","4 stars"
"5 stars","5 stars"
"Add New Rating","Thêm Thang Điểm Mới"
"Assigned Options","Assigned Options"
"Be the first to review this product","Be the first to review this product"
"Default Value","Default Value"
"Delete Rating","Xóa Thang Điểm"
"Edit Rating","Chỉnh Sửa Thang Điểm"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Nếu bạn không nhập tiêu đề của thang điểm cho mỗi của hàng khác nhau thì tiêu đề mặc định sẽ được dùng cho các cửa hàng này"
"Manage Ratings","Manage Ratings"
"New Rating","New Rating"
"Option Label","Option Label"
"Option Title","Option Title"
"Option Title:","Option Title:"
"Please select one of each ratings above","Please select one of each ratings above"
"Rating Information","Thông Tin Thang Điểm"
"Rating Name","Tên Thang Điểm"
"Rating Options","Rating Options"
"Rating Title","Tiêu Đề Thang Điểm"
"Rating Visibility","Nơi Hiển Thị Của Thang Điểm"
"Rating isn't Available","Hiện Không Có Thang Điểm Nào."
"Rating with the same title","Rating with the same title"
"Save Rating","Lưu Lại"
"Visible In","Visible In"
