"ALL","Tất Cả"
"ANY","Bất Kỳ"
"Add","Thêm"
"Apply","Áp Dụng"
"Conditions Combination","Conditions Combination"
"Description: %s","Description: %s"
"End Date should be greater than Start Date","End Date should be greater than Start Date"
"Expire at: %s","Expire at: %s"
"FALSE","FALSE"
"If %s of these conditions are %s:","Nếu %s của điều kiện là %s:"
"Invalid discount amount.","Invalid discount amount."
"Name: %s","Name: %s"
"Open Chooser","Open Chooser"
"Perform following actions","Perform following actions"
"Please choose a condition to add...","Hãy chọn một điều kiện để thêm vào..."
"Please choose an action to add...","Hãy chọn hành động để thêm vào ..."
"Remove","Remove"
"Start at: %s","Start at: %s"
"TRUE","TRUE"
"by","by"
"contains","contains"
"does not contain","does not contain"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"is","is"
"is not","is not"
"is not one of","is not one of"
"is one of","is one of"
"less than","less than"
"to","to"
